,Hour,Weekno,Enhanced_Weekday,gas_price,demand_2da,Solar7da,Wind7da,np15_outage_total,demandMinusWindMinusSolar,Ph,target0
2023-07-16 01:00:00,2.0,28.0,7.0,7.99,28666.92,0.0,583.97,3027.3900000000003,28082.949999999997,55.44675,51.02498
2023-07-16 02:00:00,3.0,28.0,7.0,7.99,27247.95,0.0,488.23,3008.2299999999996,26759.72,51.02498,49.36928
2023-07-16 03:00:00,4.0,28.0,7.0,7.99,26215.71,0.0,387.11,3030.13,25828.6,49.36928,48.37132
2023-07-16 04:00:00,5.0,28.0,7.0,7.99,25501.31,0.0,302.63,3020.09,25198.68,48.37132,49.89632
2023-07-16 05:00:00,6.0,28.0,7.0,7.99,24916.53,0.07,237.14,3839.71,24679.32,49.89632,49.93588
2023-07-16 06:00:00,7.0,28.0,7.0,7.99,23751.71,213.35,165.52,3911.75,23372.84,49.93588,48.64127
2023-07-16 07:00:00,8.0,28.0,7.0,7.99,23887.53,874.44,98.55,3798.5600000000004,22914.54,48.64127,41.33536
2023-07-16 08:00:00,9.0,28.0,7.0,7.99,24577.33,1471.48,53.84,3761.36,23052.010000000002,41.33536,39.51322
2023-07-16 09:00:00,10.0,28.0,7.0,7.99,25000.89,1705.13,29.94,3802.6000000000004,23265.82,39.51322,41.67601
2023-07-16 10:00:00,11.0,28.0,7.0,7.99,26130.98,1777.95,20.63,3853.09,24332.399999999998,41.67601,42.76379
2023-07-16 11:00:00,12.0,28.0,7.0,7.99,27822.22,1807.29,21.22,3927.37,25993.71,42.76379,45.50451
2023-07-16 12:00:00,13.0,28.0,7.0,7.99,30101.01,1810.52,40.22,3969.58,28250.269999999997,45.50451,49.21441
2023-07-16 13:00:00,14.0,28.0,7.0,7.99,32300.18,1799.18,116.15,4028.36,30384.85,49.21441,51.61596
2023-07-16 14:00:00,15.0,28.0,7.0,7.99,34599.3,1766.31,259.67,4054.77,32573.320000000007,51.61596,61.17482
2023-07-16 15:00:00,16.0,28.0,7.0,7.99,36852.44,1680.52,425.88,4017.01,34746.04000000001,61.17482,70.7
2023-07-16 16:00:00,17.0,28.0,7.0,7.99,38874.16,1503.86,573.36,3988.84,36796.94,70.7,76.36
2023-07-16 17:00:00,18.0,28.0,7.0,7.99,40672.07,1214.46,704.25,3175.83,38753.36,76.36,87.16848
2023-07-16 18:00:00,19.0,28.0,7.0,7.99,41450.25,764.72,799.08,3037.8199999999997,39886.45,87.16848,116.12064
2023-07-16 19:00:00,20.0,28.0,7.0,7.99,40623.35,240.5,846.71,2987.8,39536.14,116.12064,167.43
2023-07-16 20:00:00,21.0,28.0,7.0,7.99,39268.52,5.33,874.52,2932.71,38388.67,167.43,110.62921
2023-07-16 21:00:00,22.0,28.0,7.0,7.99,37813.93,0.0,866.02,2890.2799999999997,36947.91,110.62921,86.94584
2023-07-16 22:00:00,23.0,28.0,7.0,7.99,35150.27,0.0,830.03,2867.25,34320.24,86.94584,70.85758
2023-07-16 23:00:00,24.0,28.0,7.0,7.99,32314.21,0.0,766.31,2892.72,31547.899999999998,70.85758,65.12453
2023-07-17 00:00:00,1.0,29.0,1.0,7.99,29782.35,0.0,797.18,2610.15,28985.17,65.12453,53.34025
2023-07-17 01:00:00,2.0,29.0,1.0,7.99,28200.19,0.0,717.59,2551.3500000000004,27482.6,53.34025,47.63567
2023-07-17 02:00:00,3.0,29.0,1.0,7.99,26913.07,0.0,671.82,2532.23,26241.25,47.63567,47.64817
2023-07-17 03:00:00,4.0,29.0,1.0,7.99,26194.36,0.0,628.46,2543.71,25565.9,47.64817,46.82543
2023-07-17 04:00:00,5.0,29.0,1.0,7.99,26159.9,0.0,583.71,2520.27,25576.190000000002,46.82543,48.15511
2023-07-17 05:00:00,6.0,29.0,1.0,7.99,26854.28,0.11,553.07,3338.7599999999998,26301.1,48.15511,50.29502
2023-07-17 06:00:00,7.0,29.0,1.0,7.99,27709.26,232.62,531.85,3378.41,26944.79,50.29502,50.07417
2023-07-17 07:00:00,8.0,29.0,1.0,7.99,29262.21,903.5,471.43,3409.23,27887.28,50.07417,46.9899
2023-07-17 08:00:00,9.0,29.0,1.0,7.99,30305.87,1477.4,362.32,3447.98,28466.149999999998,46.9899,44.7655
2023-07-17 09:00:00,10.0,29.0,1.0,7.99,31151.68,1700.24,255.95,3486.69,29195.489999999998,44.7655,47.06036
2023-07-17 10:00:00,11.0,29.0,1.0,7.99,32078.42,1776.79,194.71,3538.65,30106.92,47.06036,47.96015
2023-07-17 11:00:00,12.0,29.0,1.0,7.99,33502.77,1812.92,179.77,3590.21,31510.079999999998,47.96015,48.5371
2023-07-17 12:00:00,13.0,29.0,1.0,7.99,35539.05,1825.05,193.48,3556.13,33520.52,48.5371,50.29093
2023-07-17 13:00:00,14.0,29.0,1.0,7.99,37739.05,1824.7,251.39,3603.21,35662.96000000001,50.29093,52.41158
2023-07-17 14:00:00,15.0,29.0,1.0,7.99,39957.05,1818.28,380.65,3627.54,37758.12,52.41158,56.97043
2023-07-17 15:00:00,16.0,29.0,1.0,7.99,42013.49,1805.42,547.44,3598.16,39660.63,56.97043,68.93417
2023-07-17 16:00:00,17.0,29.0,1.0,7.99,43381.7,1764.03,669.59,3569.0699999999997,40948.08,68.93417,72.99757
